hex_string,utf8_string,emoji_desc
1F916,\u00f0\u009f\u00a4\u0096,robot
1F63A,\u00f0\u009f\u0098\u00ba,grinning cat
1F638,\u00f0\u009f\u0098\u00b8,grinning cat with smiling eyes
1F639,\u00f0\u009f\u0098\u00b9,cat with tears of joy
1F63B,\u00f0\u009f\u0098\u00bb,smiling cat with heart-eyes
1F63C,\u00f0\u009f\u0098\u00bc,cat with wry smile
1F63D,\u00f0\u009f\u0098\u00bd,kissing cat
1F640,\u00f0\u009f\u0099\u0080,weary cat
1F63F,\u00f0\u009f\u0098\u00bf,crying cat
1F63E,\u00f0\u009f\u0098\u00be,pouting cat
1F648,\u00f0\u009f\u0099\u0088,see-no-evil monkey
1F649,\u00f0\u009f\u0099\u0089,hear-no-evil monkey
1F64A,\u00f0\u009f\u0099\u008a,speak-no-evil monkey
1F48B,\u00f0\u009f\u0092\u008b,kiss mark
1F48C,\u00f0\u009f\u0092\u008c,love letter
1F498,\u00f0\u009f\u0092\u0098,heart with arrow
1F49D,\u00f0\u009f\u0092\u009d,heart with ribbon
1F496,\u00f0\u009f\u0092\u0096,sparkling heart
1F497,\u00f0\u009f\u0092\u0097,growing heart
1F493,\u00f0\u009f\u0092\u0093,beating heart
1F49E,\u00f0\u009f\u0092\u009e,revolving hearts
1F495,\u00f0\u009f\u0092\u0095,two hearts
1F49F,\u00f0\u009f\u0092\u009f,heart decoration
2763 FE0F,\u00e2\u009d\u00a3\u00ef\u00b8\u008f,heart exclamation
2763,\u00e2\u009d\u00a3,heart exclamation
1F494,\u00f0\u009f\u0092\u0094,broken heart
2764 FE0F,\u00e2\u009d\u00a4\u00ef\u00b8\u008f,red heart
2764,\u00e2\u009d\u00a4,red heart
1F9E1,\u00f0\u009f\u00a7\u00a1,orange heart
1F49B,\u00f0\u009f\u0092\u009b,yellow heart
1F49A,\u00f0\u009f\u0092\u009a,green heart
1F499,\u00f0\u009f\u0092\u0099,blue heart
1F49C,\u00f0\u009f\u0092\u009c,purple heart
1F90E,\u00f0\u009f\u00a4\u008e,brown heart
1F5A4,\u00f0\u009f\u0096\u00a4,black heart
1F90D,\u00f0\u009f\u00a4\u008d,white heart
1F4AF,\u00f0\u009f\u0092\u00af,hundred points
1F4A2,\u00f0\u009f\u0092\u00a2,anger symbol
1F4A5,\u00f0\u009f\u0092\u00a5,collision
1F4AB,\u00f0\u009f\u0092\u00ab,dizzy
1F4A6,\u00f0\u009f\u0092\u00a6,sweat droplets
1F4A8,\u00f0\u009f\u0092\u00a8,dashing away
1F573 FE0F,\u00f0\u009f\u0095\u00b3\u00ef\u00b8\u008f,hole
1F573,\u00f0\u009f\u0095\u00b3,hole
1F4A3,\u00f0\u009f\u0092\u00a3,bomb
1F4AC,\u00f0\u009f\u0092\u00ac,speech balloon
1F441 FE0F 200D 1F5E8 FE0F,\u00f0\u009f\u0091\u0081\u00ef\u00b8\u008f\u00e2\u0080\u008d\u00f0\u009f\u0097\u00a8\u00ef\u00b8\u008f,eye in speech bubble
1F441 200D 1F5E8 FE0F,\u00f0\u009f\u0091\u0081\u00e2\u0080\u008d\u00f0\u009f\u0097\u00a8\u00ef\u00b8\u008f,eye in speech bubble
1F441 FE0F 200D 1F5E8,\u00f0\u009f\u0091\u0081\u00ef\u00b8\u008f\u00e2\u0080\u008d\u00f0\u009f\u0097\u00a8,eye in speech bubble
1F441 200D 1F5E8,\u00f0\u009f\u0091\u0081\u00e2\u0080\u008d\u00f0\u009f\u0097\u00a8,eye in speech bubble
1F5E8 FE0F,\u00f0\u009f\u0097\u00a8\u00ef\u00b8\u008f,left speech bubble
