hex_string,utf8_string,emoji_desc
1F647 1F3FC,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bc,person bowing: medium-light skin tone
1F647 1F3FD,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bd,person bowing: medium skin tone
1F647 1F3FE,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00be,person bowing: medium-dark skin tone
1F647 1F3FF,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bf,person bowing: dark skin tone
1F647 200D 2642 FE0F,\u00f0\u009f\u0099\u0087\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man bowing
1F647 200D 2642,\u00f0\u009f\u0099\u0087\u00e2\u0080\u008d\u00e2\u0099\u0082,man bowing
1F647 1F3FB 200D 2642 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man bowing: light skin tone
1F647 1F3FB 200D 2642,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man bowing: light skin tone
1F647 1F3FC 200D 2642 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man bowing: medium-light skin tone
1F647 1F3FC 200D 2642,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man bowing: medium-light skin tone
1F647 1F3FD 200D 2642 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man bowing: medium skin tone
1F647 1F3FD 200D 2642,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man bowing: medium skin tone
1F647 1F3FE 200D 2642 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man bowing: medium-dark skin tone
1F647 1F3FE 200D 2642,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man bowing: medium-dark skin tone
1F647 1F3FF 200D 2642 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man bowing: dark skin tone
1F647 1F3FF 200D 2642,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man bowing: dark skin tone
1F647 200D 2640 FE0F,\u00f0\u009f\u0099\u0087\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman bowing
1F647 200D 2640,\u00f0\u009f\u0099\u0087\u00e2\u0080\u008d\u00e2\u0099\u0080,woman bowing
1F647 1F3FB 200D 2640 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman bowing: light skin tone
1F647 1F3FB 200D 2640,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman bowing: light skin tone
1F647 1F3FC 200D 2640 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman bowing: medium-light skin tone
1F647 1F3FC 200D 2640,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman bowing: medium-light skin tone
1F647 1F3FD 200D 2640 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman bowing: medium skin tone
1F647 1F3FD 200D 2640,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman bowing: medium skin tone
1F647 1F3FE 200D 2640 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman bowing: medium-dark skin tone
1F647 1F3FE 200D 2640,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman bowing: medium-dark skin tone
1F647 1F3FF 200D 2640 FE0F,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman bowing: dark skin tone
1F647 1F3FF 200D 2640,\u00f0\u009f\u0099\u0087\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman bowing: dark skin tone
1F926,\u00f0\u009f\u00a4\u00a6,person facepalming
1F926 1F3FB,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bb,person facepalming: light skin tone
1F926 1F3FC,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bc,person facepalming: medium-light skin tone
1F926 1F3FD,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bd,person facepalming: medium skin tone
1F926 1F3FE,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00be,person facepalming: medium-dark skin tone
1F926 1F3FF,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bf,person facepalming: dark skin tone
1F926 200D 2642 FE0F,\u00f0\u009f\u00a4\u00a6\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man facepalming
1F926 200D 2642,\u00f0\u009f\u00a4\u00a6\u00e2\u0080\u008d\u00e2\u0099\u0082,man facepalming
1F926 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man facepalming: light skin tone
1F926 1F3FB 200D 2642,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man facepalming: light skin tone
1F926 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man facepalming: medium-light skin tone
1F926 1F3FC 200D 2642,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man facepalming: medium-light skin tone
1F926 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man facepalming: medium skin tone
1F926 1F3FD 200D 2642,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man facepalming: medium skin tone
1F926 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man facepalming: medium-dark skin tone
1F926 1F3FE 200D 2642,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man facepalming: medium-dark skin tone
1F926 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man facepalming: dark skin tone
1F926 1F3FF 200D 2642,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man facepalming: dark skin tone
1F926 200D 2640 FE0F,\u00f0\u009f\u00a4\u00a6\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman facepalming
1F926 200D 2640,\u00f0\u009f\u00a4\u00a6\u00e2\u0080\u008d\u00e2\u0099\u0080,woman facepalming
1F926 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman facepalming: light skin tone
1F926 1F3FB 200D 2640,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman facepalming: light skin tone
1F926 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman facepalming: medium-light skin tone
1F926 1F3FC 200D 2640,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman facepalming: medium-light skin tone
1F926 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman facepalming: medium skin tone
1F926 1F3FD 200D 2640,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman facepalming: medium skin tone
1F926 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman facepalming: medium-dark skin tone
1F926 1F3FE 200D 2640,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman facepalming: medium-dark skin tone
1F926 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman facepalming: dark skin tone
1F926 1F3FF 200D 2640,\u00f0\u009f\u00a4\u00a6\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman facepalming: dark skin tone
1F937,\u00f0\u009f\u00a4\u00b7,person shrugging
1F937 1F3FB,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bb,person shrugging: light skin tone
1F937 1F3FC,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bc,person shrugging: medium-light skin tone
1F937 1F3FD,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bd,person shrugging: medium skin tone
1F937 1F3FE,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00be,person shrugging: medium-dark skin tone
1F937 1F3FF,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bf,person shrugging: dark skin tone
1F937 200D 2642 FE0F,\u00f0\u009f\u00a4\u00b7\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man shrugging
1F937 200D 2642,\u00f0\u009f\u00a4\u00b7\u00e2\u0080\u008d\u00e2\u0099\u0082,man shrugging
1F937 1F3FB 200D 2642 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man shrugging: light skin tone
1F937 1F3FB 200D 2642,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0082,man shrugging: light skin tone
1F937 1F3FC 200D 2642 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man shrugging: medium-light skin tone
1F937 1F3FC 200D 2642,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0082,man shrugging: medium-light skin tone
1F937 1F3FD 200D 2642 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man shrugging: medium skin tone
1F937 1F3FD 200D 2642,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0082,man shrugging: medium skin tone
1F937 1F3FE 200D 2642 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man shrugging: medium-dark skin tone
1F937 1F3FE 200D 2642,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0082,man shrugging: medium-dark skin tone
1F937 1F3FF 200D 2642 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082\u00ef\u00b8\u008f,man shrugging: dark skin tone
1F937 1F3FF 200D 2642,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0082,man shrugging: dark skin tone
1F937 200D 2640 FE0F,\u00f0\u009f\u00a4\u00b7\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman shrugging
1F937 200D 2640,\u00f0\u009f\u00a4\u00b7\u00e2\u0080\u008d\u00e2\u0099\u0080,woman shrugging
1F937 1F3FB 200D 2640 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman shrugging: light skin tone
1F937 1F3FB 200D 2640,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u0099\u0080,woman shrugging: light skin tone
1F937 1F3FC 200D 2640 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman shrugging: medium-light skin tone
1F937 1F3FC 200D 2640,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u0099\u0080,woman shrugging: medium-light skin tone
1F937 1F3FD 200D 2640 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman shrugging: medium skin tone
1F937 1F3FD 200D 2640,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u0099\u0080,woman shrugging: medium skin tone
1F937 1F3FE 200D 2640 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman shrugging: medium-dark skin tone
1F937 1F3FE 200D 2640,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u0099\u0080,woman shrugging: medium-dark skin tone
1F937 1F3FF 200D 2640 FE0F,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080\u00ef\u00b8\u008f,woman shrugging: dark skin tone
1F937 1F3FF 200D 2640,\u00f0\u009f\u00a4\u00b7\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u0099\u0080,woman shrugging: dark skin tone
1F9D1 200D 2695 FE0F,\u00f0\u009f\u00a7\u0091\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,health worker
1F9D1 200D 2695,\u00f0\u009f\u00a7\u0091\u00e2\u0080\u008d\u00e2\u009a\u0095,health worker
1F9D1 1F3FB 200D 2695 FE0F,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,health worker: light skin tone
1F9D1 1F3FB 200D 2695,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u009a\u0095,health worker: light skin tone
1F9D1 1F3FC 200D 2695 FE0F,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,health worker: medium-light skin tone
1F9D1 1F3FC 200D 2695,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u009a\u0095,health worker: medium-light skin tone
1F9D1 1F3FD 200D 2695 FE0F,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,health worker: medium skin tone
1F9D1 1F3FD 200D 2695,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u009a\u0095,health worker: medium skin tone
1F9D1 1F3FE 200D 2695 FE0F,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,health worker: medium-dark skin tone
1F9D1 1F3FE 200D 2695,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u009a\u0095,health worker: medium-dark skin tone
1F9D1 1F3FF 200D 2695 FE0F,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,health worker: dark skin tone
1F9D1 1F3FF 200D 2695,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u009a\u0095,health worker: dark skin tone
1F468 200D 2695 FE0F,\u00f0\u009f\u0091\u00a8\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,man health worker
1F468 200D 2695,\u00f0\u009f\u0091\u00a8\u00e2\u0080\u008d\u00e2\u009a\u0095,man health worker
1F468 1F3FB 200D 2695 FE0F,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,man health worker: light skin tone
1F468 1F3FB 200D 2695,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u009a\u0095,man health worker: light skin tone
1F468 1F3FC 200D 2695 FE0F,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,man health worker: medium-light skin tone
1F468 1F3FC 200D 2695,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u009a\u0095,man health worker: medium-light skin tone
1F468 1F3FD 200D 2695 FE0F,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,man health worker: medium skin tone
1F468 1F3FD 200D 2695,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u009a\u0095,man health worker: medium skin tone
1F468 1F3FE 200D 2695 FE0F,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,man health worker: medium-dark skin tone
1F468 1F3FE 200D 2695,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u009a\u0095,man health worker: medium-dark skin tone
1F468 1F3FF 200D 2695 FE0F,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,man health worker: dark skin tone
1F468 1F3FF 200D 2695,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u009a\u0095,man health worker: dark skin tone
1F469 200D 2695 FE0F,\u00f0\u009f\u0091\u00a9\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,woman health worker
1F469 200D 2695,\u00f0\u009f\u0091\u00a9\u00e2\u0080\u008d\u00e2\u009a\u0095,woman health worker
1F469 1F3FB 200D 2695 FE0F,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,woman health worker: light skin tone
1F469 1F3FB 200D 2695,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00e2\u009a\u0095,woman health worker: light skin tone
1F469 1F3FC 200D 2695 FE0F,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,woman health worker: medium-light skin tone
1F469 1F3FC 200D 2695,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00e2\u009a\u0095,woman health worker: medium-light skin tone
1F469 1F3FD 200D 2695 FE0F,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,woman health worker: medium skin tone
1F469 1F3FD 200D 2695,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00e2\u009a\u0095,woman health worker: medium skin tone
1F469 1F3FE 200D 2695 FE0F,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,woman health worker: medium-dark skin tone
1F469 1F3FE 200D 2695,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00e2\u009a\u0095,woman health worker: medium-dark skin tone
1F469 1F3FF 200D 2695 FE0F,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u009a\u0095\u00ef\u00b8\u008f,woman health worker: dark skin tone
1F469 1F3FF 200D 2695,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00e2\u009a\u0095,woman health worker: dark skin tone
1F9D1 200D 1F393,\u00f0\u009f\u00a7\u0091\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,student
1F9D1 1F3FB 200D 1F393,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,student: light skin tone
1F9D1 1F3FC 200D 1F393,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,student: medium-light skin tone
1F9D1 1F3FD 200D 1F393,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,student: medium skin tone
1F9D1 1F3FE 200D 1F393,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,student: medium-dark skin tone
1F9D1 1F3FF 200D 1F393,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,student: dark skin tone
1F468 200D 1F393,\u00f0\u009f\u0091\u00a8\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,man student
1F468 1F3FB 200D 1F393,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,man student: light skin tone
1F468 1F3FC 200D 1F393,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,man student: medium-light skin tone
1F468 1F3FD 200D 1F393,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,man student: medium skin tone
1F468 1F3FE 200D 1F393,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,man student: medium-dark skin tone
1F468 1F3FF 200D 1F393,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,man student: dark skin tone
1F469 200D 1F393,\u00f0\u009f\u0091\u00a9\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,woman student
1F469 1F3FB 200D 1F393,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,woman student: light skin tone
1F469 1F3FC 200D 1F393,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,woman student: medium-light skin tone
1F469 1F3FD 200D 1F393,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,woman student: medium skin tone
1F469 1F3FE 200D 1F393,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,woman student: medium-dark skin tone
1F469 1F3FF 200D 1F393,\u00f0\u009f\u0091\u00a9\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00f0\u009f\u008e\u0093,woman student: dark skin tone
1F9D1 200D 1F3EB,\u00f0\u009f\u00a7\u0091\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,teacher
1F9D1 1F3FB 200D 1F3EB,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,teacher: light skin tone
1F9D1 1F3FC 200D 1F3EB,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,teacher: medium-light skin tone
1F9D1 1F3FD 200D 1F3EB,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,teacher: medium skin tone
1F9D1 1F3FE 200D 1F3EB,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00be\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,teacher: medium-dark skin tone
1F9D1 1F3FF 200D 1F3EB,\u00f0\u009f\u00a7\u0091\u00f0\u009f\u008f\u00bf\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,teacher: dark skin tone
1F468 200D 1F3EB,\u00f0\u009f\u0091\u00a8\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,man teacher
1F468 1F3FB 200D 1F3EB,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bb\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,man teacher: light skin tone
1F468 1F3FC 200D 1F3EB,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bc\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,man teacher: medium-light skin tone
1F468 1F3FD 200D 1F3EB,\u00f0\u009f\u0091\u00a8\u00f0\u009f\u008f\u00bd\u00e2\u0080\u008d\u00f0\u009f\u008f\u00ab,man teacher: medium skin tone
